index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
194,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,0.0,yes,1,,,0,Agree,StronglyAgree,0,0
195,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,1.0,yes,0,yes,no,0,,StronglyDisagree,0,0
196,2021,Q1Q2,Brazil,venezuela,white,stay,3.0,0.0,yes,1,,,0,Agree,StronglyAgree,1,0
197,2021,Q1Q2,Brazil,venezuela,,relocate,1.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
198,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,1.0,yes,1,yes,no,0,Disagree,StronglyDisagree,0,0
199,2021,Q1Q2,Brazil,venezuela,,stay,1.0,0.0,no,1,,,0,,Disagree,0,0
200,2021,Q1Q2,Brazil,other,black,stay,3.0,2.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,0,0
201,2021,Q1Q2,Brazil,venezuela,mixed,stay,4.0,5.0,yes,0,dontknow,,0,,StronglyAgree,0,0
202,2021,Q1Q2,Brazil,venezuela,other,stay,2.0,3.0,no,1,yes,yes,0,,Agree,0,0
203,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,Agree,Agree,1,0
204,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,Agree,Disagree,0,0
205,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,4.0,2.0,yes,1,no,,0,,StronglyAgree,1,0
206,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,2.0,yes,1,yes,yes,0,Agree,Agree,0,0
207,2021,Q1Q2,Brazil,venezuela,other,dontknow,2.0,3.0,yes,1,yes,yes,0,Agree,Undecided,0,0
208,2021,Q1Q2,Brazil,venezuela,mixed,stay,1.0,1.0,yes,1,no,,0,,StronglyAgree,1,0
209,2021,Q1Q2,Brazil,venezuela,black,dontknow,6.0,3.0,no,1,no,,0,,Agree,1,0
