index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
44,2021,Q3,Bolivia,venezuela,,stay,,,no,1,yes,yes,0,,Agree,0,0
45,2021,Q3,Bolivia,venezuela,,stay,4.0,2.0,,1,yes,no,0,Agree,Agree,0,0
46,2021,Q3,Bolivia,venezuela,,stay,,,yes,1,yes,Nainpersonclasses,0,,Agree,0,0
47,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,no,,0,,Agree,0,0
48,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,no,0,,Agree,1,0
49,2021,Q3,Bolivia,venezuela,,stay,,,yes,1,,,0,,Disagree,0,0
50,2021,Q3,Bolivia,venezuela,,stay,1.0,0.0,no,1,,,0,,Agree,1,0
51,2021,Q3,Bolivia,venezuela,,stay,,,no,1,yes,yes,0,,Undecided,0,0
52,2021,Q3,Bolivia,venezuela,,relocate,2.0,3.0,yes,1,yes,yes,0,Agree,StronglyAgree,0,0
53,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,,StronglyAgree,1,0
54,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,Agree,Agree,1,0
55,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,0,0
56,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,Agree,Agree,0,0
57,2021,Q3,Bolivia,venezuela,,relocate,2.0,1.0,,1,yes,yes,0,,Agree,0,0
58,2021,Q3,Bolivia,venezuela,,stay,1.0,1.0,,1,,,0,,Agree,1,0
59,2021,Q3,Bolivia,venezuela,,stay,1.0,0.0,,1,,,0,Agree,Agree,0,0
60,2021,Q3,Bolivia,venezuela,,relocate,2.0,1.0,yes,1,,,0,,Agree,1,0
61,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,StronglyAgree,Agree,0,0
62,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,no,1,,,0,Agree,Agree,0,0
63,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,yes,yes,0,,Agree,0,0
64,2021,Q3,Bolivia,venezuela,,stay,4.0,2.0,,1,yes,yes,0,,StronglyAgree,0,0
65,2021,Q3,Bolivia,venezuela,,stay,4.0,0.0,no,1,,,0,Agree,StronglyAgree,1,0
66,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,yes,yes,0,Agree,Disagree,0,0
67,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,0,,,0,,StronglyAgree,1,0
68,2021,Q3,Bolivia,venezuela,,stay,3.0,0.0,yes,1,,,0,Disagree,Agree,1,0
69,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,,Agree,0,0
70,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
71,2021,Q3,Bolivia,venezuela,,stay,4.0,3.0,yes,1,no,,0,Agree,Undecided,0,0
72,2021,Q3,Bolivia,venezuela,,stay,2.0,3.0,yes,1,yes,no,0,,StronglyAgree,1,0
73,2021,Q3,Bolivia,venezuela,,relocate,5.0,0.0,no,1,,,0,StronglyAgree,Agree,0,0
74,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,,1,,,0,,Disagree,0,0
75,2021,Q3,Bolivia,venezuela,,relocate,,,no,0,yes,yes,0,StronglyAgree,StronglyAgree,1,0
76,2021,Q3,Bolivia,venezuela,,stay,1.0,3.0,yes,1,yes,yes,0,Disagree,Agree,1,0
77,2021,Q3,Bolivia,venezuela,,stay,,,no,1,,,0,Disagree,Agree,1,0
78,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,no,1,yes,no,0,,Disagree,0,0
79,2021,Q3,Bolivia,venezuela,,dontknow,3.0,0.0,yes,1,,,0,Agree,Agree,0,0
80,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,,StronglyAgree,0,0
