index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
561,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,Agree,1.0,0.0
562,2021,Q1Q2,Argentina,venezuela,,stay,3.0,2.0,no,1,yes,yes,0.0,StronglyAgree,Agree,1.0,0.0
563,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,StronglyAgree,StronglyAgree,0.0,0.0
564,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,Agree,1.0,0.0
565,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,StronglyAgree,1.0,0.0
566,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,StronglyAgree,0.0,0.0
567,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,Agree,Agree,0.0,0.0
568,2021,Q1Q2,Argentina,venezuela,,stay,3.0,1.0,no,1,yes,Nainpersonclasses,0.0,StronglyAgree,Agree,0.0,0.0
569,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Undecided,StronglyAgree,1.0,0.0
570,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,no,1,yes,yes,0.0,Agree,Agree,0.0,0.0
571,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
572,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,,StronglyAgree,0.0,0.0
573,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,yes,1,no,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
574,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Disagree,Undecided,0.0,0.0
